team_name,player_name,14-10-24,15-10-24,16-10-24,17-10-24,18-10-24,19-10-24,20-10-24,22-10-24,23-10-24,Lanzamientos Totales
GSV,Jesus Huerta,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0
JAL,Edgar Manzo,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0
HER,Orlando Gonzalez,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0
OBR,Yuhi Sako,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
MAZ,Jovany Lopez,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,25.0
HER,Raul Barron,0.0,0.0,0.0,11.0,0.0,9.0,0.0,4.0,0.0,24.0
JAL,Alejandro Morales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0
MTY,Nathanael Santiago,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,23.0
MXC,Patricio Ress,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,22.0
MTY,Carlos De Leon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0
CUL,Carlos Machorro,0.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,21.0
MXC,Jose Luis Reyes,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
OBR,Ernesto Zaragoza,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,19.0
CUL,Axel Sauceda,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
MAZ,Alex Speas,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
MAZ,Alexandro Tovalin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,17.0
CUL,Jose Bravo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0
MAZ,Ernesto Borges,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
MTY,Cristian Castillo,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
CUL,Luis Aguayo,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0
OBR,Ruben Salinas,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,1.0,14.0
HER,Anibal Cervantes,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
MOC,Nick Struck,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
GSV,Peyton Gray,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
MTY,Francisco Rios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
MTY,Ivan Salas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0
MXC,Pedro Santillan,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
GSV,Edwin Cervantes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
GSV,Kevin Ribon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
GSV,Ian Medina,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
